id,name,slug,barcode,category,brand,aggregate_stock,is_available,stock_by_capacity_json,capacity_field,capacity_labels,capacity_pricing_detail
1298,Lenotti Soave Classico,lenotti-lenotti-soave-classico-750ml,,Wine,Lenotti,10,true,,750ML.,750ML.,
1299,Lenotti Valpolicella Classico Vino,lenotti-lenotti-valpolicella-classico-vino-750ml,,Wine,Lenotti,10,true,,750ML.,750ML.,
1300,Leopard Leap Sauvignon Blanc,leopards-leap-leopard-leap-sauvignon-blanc-750ml,,Wine,Leopards leap,10,true,,750ML.,750ML.,
1301,Leopard's Leap Cabernet Sauvignon-Merlot,leopards-leap-leopards-leap-cabernet-sauvignon-merlot-750ml,,Wine,Leopards leap,10,true,,750ml,750ml,
1302,Leopards leap Merlot,leopards-leap-leopards-leap-merlot-750ml,,Wine,Leopards leap,10,true,,750ml,750ml,
1309,Lillet Rose,lillet-lillet-rose-750ml,,Wine,Lillet,10,true,,750ML.,750ML.,
1310,Lillet Rouge,lillet-lillet-rouge-750ml,,Wine,Lillet,10,true,,750ML.,750ML.,
1314,Lodez Cabernet Sauvignon,lodez-lodez-cabernet-sauvignon-750ml,,Wine,Lodez,10,true,,750ml,750ml,
1315,Lodez Merlot,lodez-lodez-merlot-750ml,,Wine,Lodez,10,true,,750ml,750ml,
1316,Lodez Pinot Noir 750ml.,lodez-lodez-pinot-noir-750ml-750ml,,Wine,Lodez,10,true,,750ML.,750ML.,
1317,Lodez Sauvignon Blanc,lodez-lodez-sauvignon-blanc-750ml,,Wine,Lodez,10,true,,750ML.,750ML.,
1325,Louis Jadot Brouilly,louis-jadot-louis-jadot-brouilly-750ml,,Wine,Louis Jadot,10,true,,750ML.,750ML.,
1326,Louis Jadot Cote de Beaune Villages,louis-jadot-louis-jadot-cote-de-beaune-villages-750ml,,Wine,Louis Jadot,10,true,,750ML.,750ML.,
1327,Louis Jadot Fleurie,louis-jadot-louis-jadot-fleurie-750ml,,Wine,Louis Jadot,10,true,,750ML.,750ML.,
1328,Louis Jadot Les Couchereaux Beaune ler Cru,louis-jadot-louis-jadot-les-couchereaux-beaune-ler-cru-750ml,,Wine,Louis Jadot,10,true,,750ML.,750ML.,
1329,Louis Jodot Chateau Des Jacques Morgon,louis-jadot-louis-jodot-chateau-des-jacques-morgon-750ml,,Wine,Louis Jadot,10,true,,750ML.,750ML.,
1330,Louis Max Beaujolais Villages,louis-max-louis-max-beaujolais-villages-750ml,,Wine,Louis Max,10,true,,750ML.,750ML.,
1331,Louis Max Pinot Noir,louis-max-louis-max-pinot-noir-750ml,,Wine,Louis Max,10,true,,750ML.,750ML.,
1332,Louis Max Pouilly Fuisse,louis-max-louis-max-pouilly-fuisse-750ml,,Wine,Louis Max,10,true,,750ML.,750ML.,
1333,Luis Felipe Edwards Shiraz Gran Reserva,luis-felipe-edwards-luis-felipe-edwards-shiraz-gran-reserva-750ml,,Wine,Luis Felipe Edwards,10,true,,750ML.,750ML.,
1338,Lyre's American Malt Non-Alcoholic 700ml,lyres-zero-alcohol-lyres-american-malt-non-alcoholic-700ml-700ml,,Wine,Lyres Zero Alcohol,10,true,,700ML,700ML,
1373,Maison Castel ice,maison-castel-wines-maison-castel-ice-750ml,,Wine,Maison Castel Wines,10,true,,750ml,750ml,
1388,Mara Tamu Red,mara-tamu-wines-mara-tamu-red-750ml,,Wine,Mara Tamu wines,10,true,,750ML.,750ML.,
1389,Mara Tamu Rose wine,mara-tamu-wines-mara-tamu-rose-wine-750ml,,Wine,Mara Tamu wines,10,true,,750ml,750ml,
1390,Marani Kraveli Dry Red,marani-marani-kraveli-dry-red-750ml,,Wine,Marani,10,true,,750ML.,750ML.,
